,index,Address
0,3M,"3M CENTER BLDG. 220-13E-26A ST PAUL, MINNESOTA 55144-1000"
1,A. O. Smith,"11270 WEST PARK PLACE MILWAUKEE, WISCONSIN 53224"
2,Abbott,"100 ABBOTT PARK ROAD ABBOTT PARK, ILLINOIS 60064-3500"
3,AbbVie,"1 NORTH WAUKEGAN ROAD NORTH CHICAGO, ILLINOIS 60064"
4,Accenture,"1 GRAND CANAL SQUARE GRAND CANAL HARBOUR DUBLIN, IRELAND D2"
5,Activision Blizzard,"2701 OLYMPIC BOULEVARD BUILDING B SANTA MONICA, CALIFORNIA 90404"
6,ADM,"77 W. WACKER DR. CHICAGO, ILLINOIS 60601"
7,Adobe Inc.,"345 PARK AVE SAN JOSE, CALIFORNIA 95110-2704"
8,ADP,"ONE ADP BOULVARD ROSELAND, NEW JERSEY 07068"
9,Advance Auto Parts,"4200 SIX FORKS ROAD RALEIGH, NORTH CAROLINA 27609"
10,AES Corporation,"4300 WILSON BOULEVARD ARLINGTON, VIRGINIA 22203"
11,Aflac,"1932 WYNNTON RD COLUMBUS, GEORGIA 31999"
12,Agilent Technologies,"5301 STEVENS CREEK BLVD SANTA CLARA, CALIFORNIA 95051"
13,Air Products and Chemicals,"1940 AIR PRODUCTS BLVD. ALLENTOWN, PENNSYLVANIA 18106-5500"
14,Akamai,"145 BROADWAY CAMBRIDGE, MASSACHUSETTS 02142"
15,Alaska Air Group,"19300 INTERNATIONAL BOULEVARD SEATTLE, WASHINGTON 98188"
16,Albemarle Corporation,"4250 CONGRESS STREET SUITE 900 CHARLOTTE, NORTH CAROLINA 28209"
17,Alexandria Real Estate Equities,"26 NORTH EUCLID AVENUE PASADENA, CALIFORNIA 91101"
18,Align Technology,"410 NORTH SCOTTSDALE ROAD, SUITE 1300 TEMPE, ARIZONA 85288"
19,Allegion,"BLOCK D IVEAGH COURT HARCOURT ROAD DUBLIN 2, IRELAND 00000"
20,Alliant Energy,"4902 NORTH BILTMORE LANE SUITE 1000 MADISON, WISCONSIN 53718-2148"
21,Allstate,"3100 SANDERS ROAD NORTHBROOK, ILLINOIS 60062"
22,Alphabet Inc. (Class A),"1600 AMPHITHEATRE PARKWAY MOUNTAIN VIEW, CALIFORNIA 94043"
23,Alphabet Inc. (Class C),"1600 AMPHITHEATRE PARKWAY MOUNTAIN VIEW, CALIFORNIA 94043"
24,Altria,"6601 WEST BROAD STREET RICHMOND, VIRGINIA 23230"
25,Amazon,"410 TERRY AVENUE NORTH SEATTLE, WASHINGTON 98109"
26,Amcor,"83 TOWER ROAD NORTH WARMLEY, BRISTOL, UNITED KINGDOM BS30 8XP"
27,AMD,"2485 AUGUSTINE DRIVE SANTA CLARA, CALIFORNIA 95054"
28,Ameren,"1901 CHOUTEAU AVE MC 1310 ST LOUIS, MISSOURI 63166-6149"
29,American Airlines Group,"1 SKYVIEW DRIVE FORT WORTH, TEXAS 76155"
30,American Electric Power,"1 RIVERSIDE PLAZA COLUMBUS, OHIO 43215"
31,American Express,"200 VESEY STREET 50TH FLOOR NEW YORK, NEW YORK 10285"
32,American International Group,"1271 AVE OF THE AMERICAS FL 37 NEW YORK, NEW YORK 10020-1304"
33,American Tower,"116 HUNTINGTON AVE BOSTON, MASSACHUSETTS 02116"
34,American Water Works,"1 WATER STREET CAMDEN, NEW JERSEY 08102-1658"
35,Ameriprise Financial,"1099 AMERIPRISE FINANCIAL CENTER MINNEAPOLIS, MINNESOTA 55474"
36,AmerisourceBergen,"1 WEST FIRST AVENUE CONSHOHOCKEN, PENNSYLVANIA 19428"
