Company_Name,Address,Phone
Apple Inc.,"ONE APPLE PARK WAY CUPERTINO, CALIFORNIA 95014",000-000-0000
MICROSOFT CORP,"ONE MICROSOFT WAY REDMOND, WASHINGTON 98052-6399",000-000-0000
BERKSHIRE HATHAWAY INC,"3555 FARNAM STREET OMAHA, NEBRASKA 68131",000-000-0000
UNITEDHEALTH GROUP INC,"UNITEDHEALTH GROUP CENTER 9900 BREN ROAD EAST MINNEAPOLIS, MINNESOTA 55343",000-000-0000
JOHNSON & JOHNSON,"ONE JOHNSON & JOHNSON PLZ NEW BRUNSWICK, NEW JERSEY 08933",000-000-0000
VISA INC.,"P.O. BOX 8999 SAN FRANCISCO, CALIFORNIA 94128-8999",000-000-0000
TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,"NO. 8, LI-HSIN ROAD 6 SCIENCE-BASED INDUSTRIAL PARK HSINCHU, TAIWAN 00000",000-000-0000
EXXON MOBIL CORP,"5959 LAS COLINAS BLVD IRVING, TEXAS 75039-2298",000-000-0000
Walmart Inc.,"702 SOUTHWEST 8TH ST BENTONVILLE, ARKANSAS 72716",000-000-0000
SPDR S&P 500 ETF TRUST,"11 WALL STREET PDR SERVICES LLC C/O NYSE EURONEXT NEW YORK, NEW YORK 10005",000-000-0000
JPMORGAN CHASE & CO,"383 MADISON AVENUE NEW YORK, NEW YORK 10017",000-000-0000
PROCTER & GAMBLE Co,"ONE PROCTER & GAMBLE PLAZA CINCINNATI, OHIO 45202",000-000-0000
NVIDIA CORP,"2788 SAN TOMAS EXPRESSWAY SANTA CLARA, CALIFORNIA 95051",000-000-0000
LVMH MOET HENNESSY LOUIS VUITTON,"19 EAST 57TH STREET - NEW YORK, NEW YORK 10022",000-000-0000
Mastercard Inc,"2000 PURCHASE STREET PURCHASE, NEW YORK 10577",000-000-0000
CHEVRON CORP,"6001 BOLLINGER CANYON ROAD SAN RAMON, CALIFORNIA 94583",000-000-0000
"Tesla, Inc.","3500 DEER CREEK RD PALO ALTO, CALIFORNIA 94304",000-000-0000
ELI LILLY & Co,"LILLY CORPORATE CTR DROP CODE 1094 INDIANAPOLIS, INDIANA 46285",000-000-0000
"HOME DEPOT, INC.","2455 PACES FERRY ROAD ATLANTA, GEORGIA 30339-4024",000-000-0000
